id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
3800,,KREMS-LANDERSDORF,15.616667,48.416668,200.0,1977-05-01,1982-09-30,NOE,ja,nein
3805,11070,KREMS,15.622222,48.41861,202.0,1996-02-01,2100-12-31,NOE,ja,ja
3807,,KREMS,15.6,48.416668,223.0,1974-01-01,1977-05-31,NOE,ja,nein
3811,11075,LANGENLOIS,15.697222,48.4725,207.0,1989-11-01,2100-12-31,NOE,ja,ja
4305,11085,ZWERNDORF,16.831388,48.338055,144.0,1996-12-01,2100-12-31,NOE,ja,ja
4224,11048,GAENSERNDORF-STADT,16.713612,48.337776,163.0,2002-11-01,2100-12-31,NOE,ja,ja
4030,11027,STOCKERAU,16.192499,48.396946,203.0,1997-06-01,2100-12-31,NOE,ja,ja
4070,,KORNEUBURG,16.316668,48.349998,167.0,1961-01-01,1988-05-31,NOE,ja,nein
4071,,KORNEUBURG,16.316668,48.349998,170.0,1988-06-01,1989-02-28,NOE,ja,nein
4080,11030,LANGENLEBARN,16.119167,48.324444,175.0,1951-01-01,2001-09-30,NOE,ja,nein
4102,,WIEN-KAHLENBERG,16.333334,48.266666,481.0,1951-01-01,1980-12-31,WIE,nein,nein
4115,11042,WIEN/STAMMERSDORF,16.405556,48.305832,191.0,2008-12-01,2100-12-31,WIE,ja,ja
4125,11045,WOLKERSDORF,16.5075,48.38028,185.0,2008-07-23,2100-12-31,NOE,nein,ja
4170,,SCHLEINBACH,16.433332,48.583332,199.0,1978-01-01,1982-04-30,NOE,ja,nein
4200,,GROSS SCHWEINBARTH,16.65,48.416668,180.0,1982-02-01,1985-11-30,NOE,ja,nein
4210,,MATZEN,16.700001,48.400002,189.0,1968-05-01,1982-08-31,NOE,ja,nein
4220,,OBERSIEBENBRUNN,16.700001,48.266666,150.0,1951-01-01,1988-11-30,NOE,ja,ja
4500,,RANSHOFEN,13.033334,48.216667,382.0,1980-01-01,1989-12-31,OOE,nein,nein
5820,11077,BRUNN AM GEBIRGE,16.27,48.106945,290.6,1978-07-11,2100-12-31,NOE,ja,ja
5870,11081,BADEN,16.235556,48.011391,244.8,1979-10-01,2012-05-31,NOE,ja,ja
5880,,GUMPOLDSKIRCHEN,16.283333,48.033333,222.0,1975-01-01,1979-10-31,NOE,nein,nein
5890,,BREITENFURT,16.133333,48.150002,437.0,1981-05-01,1986-02-28,NOE,ja,nein
5901,11035,WIEN-HOHE WARTE,16.356388,48.248611,198.0,1880-04-01,2014-11-30,WIE,ja,ja
5916,,WIEN-UNTERLAA,16.422777,48.127499,200.0,1951-01-01,1995-12-31,WIE,nein,nein
5925,11034,WIEN-INNERE STADT,16.366945,48.198334,177.0,1984-12-19,2100-12-31,WIE,ja,ja
5963,,WIEN-HOHE WARTE HANNHUETTE,16.355833,48.248611,198.0,1941-01-01,1987-12-31,WIE,nein,nein
5972,11037,GROSS-ENZERSDORF,16.559166,48.199722,154.0,1983-07-01,2100-12-31,NOE,ja,ja
2116,11064,GARS/Kamp,15.7,48.591946,273.0,2016-05-20,2100-12-31,NOE,ja,ja
6010,,FRANZENSDORF,16.65,48.200001,153.0,1979-10-01,1982-03-31,NOE,nein,nein
6050,,FISCHAMEND,16.613611,48.09861,159.0,1984-08-01,2004-06-30,NOE,nein,ja
6304,11350,SALZBURG-FREISAAL,13.0525,47.790833,420.0,1986-11-01,2006-03-31,SAL,ja,ja
6308,,SALZBURG/FESTUNG,13.05,47.799999,542.0,1930-12-01,1931-12-24,SAL,ja,nein
6415,11152,MATTSEE,13.105556,47.977222,502.0,1999-08-01,2100-12-31,SAL,ja,ja
6530,,WEYREGG,13.5675,47.906387,469.0,1974-07-01,1996-04-30,OOE,ja,nein
19720,11255,KOETSCHACH-MAUTHEN,12.998333,46.676388,705.0,1987-01-01,2100-12-31,KNT,ja,ja
6610,11155,FEUERKOGEL,13.718333,47.81778,1618.0,1930-08-01,2005-10-31,OOE,ja,ja
6620,11154,GMUNDEN,13.8075,47.914722,424.4,1982-08-01,2016-04-26,OOE,ja,ja
6630,,LENZING,13.616667,47.983334,466.0,1961-01-01,1964-12-31,OOE,ja,nein
19600,,ST.LORENZEN/LESACHTAL,12.783334,46.700001,1260.0,1980-01-01,2007-12-31,KNT,ja,nein
19505,11201,SILLIAN,12.423611,46.746387,1081.4,1996-11-01,2100-12-31,TIR,ja,ja
6700,,GRUENAU,13.951111,47.864166,540.0,1985-01-01,1998-12-31,OOE,nein,nein
6900,,TERNBERG,14.353889,47.954445,350.0,1982-05-01,1983-10-31,OOE,nein,nein
6910,,GROSSRAMING/KRAFTWERK,14.517777,47.893333,379.0,1980-02-01,2000-12-31,OOE,ja,nein
19201,11245,BAD GLEICHENBERG,15.901944,46.866665,303.0,1985-04-01,2004-12-31,STMK,ja,nein
18906,11285,DEUTSCHLANDSBERG,15.226944,46.821667,354.0,2001-05-01,2100-12-31,STMK,ja,ja
18810,,WOLFSBERG-REDING,14.85,46.833332,440.0,1980-01-01,1985-09-30,KNT,ja,nein
18805,11214,PREITENEGG,14.915,46.938057,1034.0,1993-06-01,2100-12-31,KNT,ja,ja
18705,11229,ST.ANDRAE/LAVANTTAL,14.828055,46.764168,403.0,1993-03-01,2100-12-31,KNT,ja,ja
18622,11237,ST.VEIT/GLAN,14.385555,46.739166,463.0,2007-08-01,2100-12-31,KNT,ja,ja
18615,,ALTHOFEN,14.483334,46.866665,728.0,1978-07-01,1980-09-30,KNT,ja,nein
18502,11225,WEITENSFELD,14.190833,46.849167,704.0,2007-07-01,2100-12-31,KNT,ja,ja
18500,11225,WEITENSFELD,14.196389,46.844444,705.0,2006-03-01,2007-08-31,KNT,nein,ja
18231,11273,GMUEND,13.534166,46.902779,738.0,2008-07-23,2100-12-31,KNT,ja,ja
18225,11272,SPITTAL/DRAU,13.487223,46.790554,542.0,1993-07-01,2100-12-31,KNT,ja,ja
18220,11272,SPITTAL/DRAU,13.536111,46.774723,524.0,1977-04-01,1996-12-31,KNT,nein,nein
18121,11261,OBERVELLACH,13.223333,46.92889,809.0,1986-12-01,2015-01-30,KNT,ja,ja
10720,11258,NEUDORF/LANDSEE,16.38139,47.562778,429.0,2015-11-01,2100-12-31,BGL,ja,ja
7905,11194,NEUSIEDL AM SEE,16.857779,47.942501,135.0,1984-06-22,2004-07-31,BGL,ja,ja
9901,,ADMONT-MOORWIRTSCHAFT,14.45,47.583332,620.0,1934-03-01,1955-07-31,STMK,nein,nein
9911,11167,HALL/ADMONT,14.490833,47.594444,637.0,2007-07-01,2100-12-31,STMK,ja,ja
9925,11063,ROTTENMANN,14.430278,47.507778,707.0,2009-08-31,2100-12-31,STMK,ja,ja
